game,turn,pre_total_score,chance_score,ones_score,twos_score,threes_score,fours_score,fives_score,sixes_score,three_kind_score,four_kind_score,full_house_score,small_straight_score,large_straight_score,yahtzee_score,hand_1_dice_1,hand_1_dice_2,hand_1_dice_3,hand_1_dice_4,hand_1_dice_5,chance_potential_1,ones_potential_1,twos_potential_1,threes_potential_1,fours_potential_1,fives_potential_1,sixes_potential_1,three_kind_potential_1,four_kind_potential_1,full_house_potential_1,small_straight_potential_1,large_straight_potential_1,yahtzee_potential_1,picks_1_dice_1,picks_1_dice_2,picks_1_dice_3,picks_1_dice_4,picks_1_dice_5,hand_2_dice_1,hand_2_dice_2,hand_2_dice_3,hand_2_dice_4,hand_2_dice_5,chance_potential_2,ones_potential_2,twos_potential_2,threes_potential_2,fours_potential_2,fives_potential_2,sixes_potential_2,three_kind_potential_2,four_kind_potential_2,full_house_potential_2,small_straight_potential_2,large_straight_potential_2,yahtzee_potential_2,picks_2_dice_1,picks_2_dice_2,picks_2_dice_3,picks_2_dice_4,picks_2_dice_5,hand_3_dice_1,hand_3_dice_2,hand_3_dice_3,hand_3_dice_4,hand_3_dice_5,chance_potential_3,ones_potential_3,twos_potential_3,threes_potential_3,fours_potential_3,fives_potential_3,sixes_potential_3,three_kind_potential_3,four_kind_potential_3,full_house_potential_3,small_straight_potential_3,large_straight_potential_3,yahtzee_potential_3,score_pick,turn_score,post_total_score
3,10,117,27,0,2,-1,12,10,12,15,14,25,-1,-1,-1,6,5,3,3,1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,0,5,4,3,3,1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,0,6,3,3,1,1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,0,0,0,threes,6,123
3,11,123,27,0,2,6,12,10,12,15,14,25,-1,-1,-1,5,4,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,1,1,4,4,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,1,1,4,4,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,small_straight,0,123
3,12,123,27,0,2,6,12,10,12,15,14,25,0,-1,-1,5,5,4,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,0,0,5,5,4,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,0,5,5,4,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,large_straight,0,123
3,13,123,27,0,2,6,12,10,12,15,14,25,0,0,-1,6,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,0,6,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,0,6,6,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,yahtzee,0,123
4,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,3,2,1,15,1,2,3,4,5,0,0,0,0,30,40,0,0,0,0,0,0,6,5,4,2,1,18,1,2,0,4,5,6,0,0,0,0,0,0,0,0,0,0,0,6,6,5,5,4,26,0,0,0,4,10,12,0,0,0,0,0,0,chance,26,26
4,2,26,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,3,2,1,-1,1,2,3,4,0,6,0,0,0,30,0,0,0,0,0,0,0,6,4,3,2,1,-1,1,2,3,4,0,6,0,0,0,30,0,0,0,0,0,0,0,4,2,2,1,1,-1,2,4,0,4,0,0,0,0,0,0,0,0,twos,4,30
4,3,30,26,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,5,5,1,-1,1,-1,0,0,10,12,0,0,0,0,0,0,1,1,1,1,0,6,6,5,5,3,-1,0,-1,3,0,10,12,0,0,0,0,0,0,1,1,1,1,0,6,6,5,5,3,-1,0,-1,3,0,10,12,0,0,0,0,0,0,sixes,12,42
4,4,42,26,-1,4,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,4,3,2,2,2,-1,0,-1,3,4,0,-1,13,0,0,0,0,0,0,0,1,1,1,6,6,2,2,2,-1,0,-1,0,0,0,-1,18,0,25,0,0,0,1,1,1,1,1,6,6,2,2,2,-1,0,-1,0,0,0,-1,18,0,25,0,0,0,full_house,25,67
4,5,67,26,-1,4,-1,-1,-1,12,-1,-1,25,-1,-1,-1,6,3,3,1,1,-1,2,-1,6,0,0,-1,0,0,-1,0,0,0,0,1,1,1,1,3,3,1,1,1,-1,3,-1,6,0,0,-1,9,0,-1,0,0,0,1,1,1,1,1,3,3,1,1,1,-1,3,-1,6,0,0,-1,9,0,-1,0,0,0,three_kind,9,76
4,6,76,26,-1,4,-1,-1,-1,12,9,-1,25,-1,-1,-1,6,5,5,4,3,-1,0,-1,3,4,10,-1,-1,0,-1,30,0,0,0,1,1,0,0,5,5,3,1,1,-1,2,-1,3,0,10,-1,-1,0,-1,0,0,0,1,1,0,1,1,5,5,1,1,1,-1,3,-1,0,0,10,-1,-1,0,-1,0,0,0,fives,10,86
